ID,Product Name,Category,Brand,Specifications,Price,Features,User Reviews,Popularity Score
1,Xiaomi Smartphone 50,Smartphone,Xiaomi,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",2159,"5G Connectivity, Super AMOLED Display",Battery could be better.,76
2,Samsung Smartphone 1,Smartphone,Samsung,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",2267,"Fast Charging, High Battery Life",Amazing performance!,70
3,OnePlus Smartphone 2,Smartphone,OnePlus,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",1031,"Wireless, Noise Cancelling",Good value for money.,89
4,Samsung Smartphone 3,Smartphone,Samsung,"Snapdragon 8 Gen 3, 12GB RAM, 256GB Storage, 5000mAh Battery",1107,"Wireless, Noise Cancelling",Good value for money.,90
5,Xiaomi Smartphone 4,Smartphone,Xiaomi,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",935,"Waterproof, Super AMOLED Display","High quality, but expensive.",84
6,Xiaomi Smartphone 5,Smartphone,Xiaomi,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",788,"Waterproof, Super AMOLED Display",Amazing performance!,76
7,OnePlus Smartphone 6,Smartphone,OnePlus,"Snapdragon 8 Gen 3, 12GB RAM, 256GB Storage, 5000mAh Battery",1948,"Lightweight, Noise Cancelling",Good value for money.,71
8,Apple Smartphone 7,Smartphone,Apple,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",1401,"5G Connectivity, Super AMOLED Display",Amazing performance!,81
9,Apple Smartphone 8,Smartphone,Apple,"Apple A17 Pro, 8GB RAM, 512GB Storage, 4500mAh Battery",644,"Wireless, Noise Cancelling",Battery could be better.,78
10,Apple Smartphone 9,Smartphone,Apple,"Snapdragon 8 Gen 3, 12GB RAM, 256GB Storage, 5000mAh Battery",1493,"5G Connectivity, Super AMOLED Display",Amazing performance!,98
